case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,1p0c,5784.0,3091.78752,10394.19504,5497.47984,3216.04764,0.0,5221.63068,33205.14,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,1p1c,8676.0,4556.54328,11066.93484,8300.30712,4794.672,5121.92544,5594.46096,48110.8452,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,1p2c,8676.0,6676.09716,11810.26248,11103.13476,5562.6702,13183.9848,6732.01176,63744.1644,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,1p3c,11328.0,8906.20824,12324.9444,13905.9624,7331.65212,15664.6188,8682.46068,78143.8476,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,1p4c,11328.0,10901.8008,12600.066,16708.7904,8054.73336,15664.6188,8568.46068,83826.4692,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,2p0c,6588.0,5668.2774,12475.332,10994.95968,4440.93276,0.0,6620.92968,46788.4308,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,2p1c,8676.0,7054.74168,13176.9372,13797.7872,5699.86812,5121.92544,7528.60908,61055.8716,60733.6796875
8,AL,TRUE,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,2p2c,8676.0,8934.67752,13665.1968,16600.614,6381.04248,13183.9848,8529.18756,75970.7052,60733.6796875
9,AL,FALSE,"Chambers County, AL",Chambers County,1p0c,6408.0,3029.53656,10893.76176,5686.79004,3419.59164,0.0,5571.77748,35009.4576,55003.9921875
9,AL,FALSE,"Chambers County, AL",Chambers County,1p1c,8928.0,4464.80088,11455.06416,8495.9568,4852.74024,5187.45084,5819.6016,49203.6156,55003.9921875
9,AL,FALSE,"Chambers County, AL",Chambers County,1p2c,8928.0,6541.6794,12093.7584,11305.12356,5605.27476,12463.2696,6712.55496,63649.6584,55003.9921875
9,AL,FALSE,"Chambers County, AL",Chambers County,2p2c,8928.0,8754.78516,13796.9052,16991.9136,6407.1702,12463.2696,8503.6794,75845.7252,55003.9921875
9,AL,FALSE,"Chambers County, AL",Chambers County,2p3c,11472.0,10688.92752,13955.9004,19801.0812,8029.77756,14701.9824,9404.31228,88053.978,55003.9921875
9,AL,FALSE,"Chambers County, AL",Chambers County,2p4c,11472.0,13080.6852,13924.7052,22610.2476,8896.40628,14701.9824,8951.69532,93637.7232,55003.9921875
10,AL,FALSE,"Cherokee County, AL",Cherokee County,1p0c,5748.0,3371.91576,11127.63204,5686.79004,3304.50516,0.0,5524.00776,34762.8516,57031.97265625
10,AL,FALSE,"Cherokee County, AL",Cherokee County,1p1c,7608.0,4969.38432,11871.07248,8495.9568,4557.28236,4871.89272,5557.08216,47930.6724,57031.97265625
10,AL,FALSE,"Cherokee County, AL",Cherokee County,1p2c,7608.0,7280.97876,12614.268,11305.12356,5394.8646,11705.11524,6445.31256,62353.6644,57031.97265625
10,AL,FALSE,"Cherokee County, AL",Cherokee County,1p3c,10524.0,9713.14524,13110.6564,14114.2908,7332.71556,13807.6452,8385.78876,76988.244,57031.97265625
10,AL,FALSE,"Cherokee County, AL",Cherokee County,1p4c,10524.0,11889.5478,13363.134,16923.4572,8121.312,13807.6452,8308.14036,82937.238,57031.97265625
10,AL,FALSE,"Cherokee County, AL",Cherokee County,2p0c,5772.0,6181.84572,13025.8716,11373.58008,4331.3496,0.0,6746.99628,47431.644,57031.97265625
